
# Surface 0 of 1 surfaces

# Curve title: "(y*(1+0.57143/(x**2 + y**2)))"

# Contour 0, label:        2
-0.92929 1.30982 1.60000 
-0.90280 1.30370 1.60000 
-0.84848 1.29091 1.60000 
-0.76768 1.27055 1.60000 
-0.68687 1.24865 1.60000 
-0.60606 1.22530 1.60000 
-0.59557 1.22222 1.60000 
-0.52525 1.20034 1.60000 
-0.44444 1.17408 1.60000 
-0.36364 1.14731 1.60000 
-0.34232 1.14074 1.60000 
-0.28283 1.12004 1.60000 
-0.20202 1.09456 1.60000 
-0.12121 1.07443 1.60000 
-0.04040 1.06316 1.60000 
0.04040 1.06316 1.60000 
0.12121 1.07443 1.60000 
0.20202 1.09456 1.60000 
0.28283 1.12004 1.60000 
0.34232 1.14074 1.60000 
0.36364 1.14731 1.60000 
0.44444 1.17408 1.60000 
0.52525 1.20034 1.60000 
0.59557 1.22222 1.60000 
0.60606 1.22530 1.60000 
0.68687 1.24865 1.60000 
0.76768 1.27055 1.60000 
0.84848 1.29091 1.60000 
0.90280 1.30370 1.60000 
0.92929 1.30982 1.60000 
1.01010 1.32744 1.60000 
1.09091 1.34377 1.60000 
1.17172 1.35889 1.60000 
1.25253 1.37289 1.60000 
1.32902 1.38519 1.60000 
1.33333 1.38588 1.60000 
1.41414 1.39802 1.60000 
1.49495 1.40928 1.60000 
1.57576 1.41974 1.60000 
1.65657 1.42946 1.60000 
1.73737 1.43850 1.60000 
1.81818 1.44692 1.60000 
1.89899 1.45476 1.60000 
1.97980 1.46208 1.60000 
2.03396 1.46667 1.60000 
2.06061 1.46893 1.60000 
2.14141 1.47535 1.60000 
2.22222 1.48135 1.60000 
2.30303 1.48697 1.60000 
2.38384 1.49223 1.60000 
2.46465 1.49716 1.60000 
2.54545 1.50179 1.60000 
2.62626 1.50614 1.60000 
2.70707 1.51022 1.60000 
2.78788 1.51407 1.60000 
2.86869 1.51769 1.60000 
2.94949 1.52110 1.60000 
3.03030 1.52432 1.60000 


# Contour 2, label:      1.2
1.78378 1.05926 1.20000 
1.81818 1.06307 1.20000 
1.89899 1.07127 1.20000 
1.97980 1.07879 1.20000 
2.06061 1.08570 1.20000 
2.14141 1.09207 1.20000 
2.22222 1.09794 1.20000 
2.30303 1.10337 1.20000 
2.38384 1.10840 1.20000 
2.46465 1.11307 1.20000 
2.54545 1.11741 1.20000 
2.62626 1.12145 1.20000 
2.70707 1.12521 1.20000 
2.78788 1.12872 1.20000 
2.86869 1.13200 1.20000 
2.94949 1.13507 1.20000 
3.03030 1.13794 1.20000 
3.11111 1.14064 1.20000 
3.11438 1.14074 1.20000 
3.19192 1.14317 1.20000 
3.27273 1.14556 1.20000 
3.35354 1.14780 1.20000 
3.43434 1.14991 1.20000 
3.51515 1.15190 1.20000 
3.59596 1.15378 1.20000 
3.67677 1.15555 1.20000 
3.75758 1.15723 1.20000 
3.83838 1.15882 1.20000 
3.91919 1.16032 1.20000 
4.00000 1.16174 1.20000 

-4.00000 1.16174 1.20000 
-3.91919 1.16032 1.20000 
-3.83838 1.15882 1.20000 
-3.75758 1.15723 1.20000 
-3.67677 1.15555 1.20000 
-3.59596 1.15378 1.20000 
-3.51515 1.15190 1.20000 
-3.43434 1.14991 1.20000 
-3.35354 1.14780 1.20000 
-3.27273 1.14556 1.20000 
-3.19192 1.14317 1.20000 
-3.11438 1.14074 1.20000 
-3.11111 1.14064 1.20000 
-3.03030 1.13794 1.20000 
-2.94949 1.13507 1.20000 
-2.86869 1.13200 1.20000 
-2.78788 1.12872 1.20000 
-2.70707 1.12521 1.20000 
-2.62626 1.12145 1.20000 
-2.54545 1.11741 1.20000 
-2.46465 1.11307 1.20000 
-2.38384 1.10840 1.20000 
-2.30303 1.10337 1.20000 
-2.22222 1.09794 1.20000 
-2.14141 1.09207 1.20000 
-2.06061 1.08570 1.20000 
-1.97980 1.07879 1.20000 
-1.89899 1.07127 1.20000 
-1.81818 1.06307 1.20000 
-1.78378 1.05926 1.20000 
-1.73737 1.05416 1.20000 
-1.65657 1.04445 1.20000 
-1.57576 1.03380 1.20000 
-1.49495 1.02207 1.20000 
-1.41414 1.00910 1.20000 
-1.33333 0.99472 1.20000 
-1.25253 0.97867 1.20000 
-1.24848 0.97778 1.20000 
-1.17172 0.96103 1.20000 
-1.09091 0.94119 1.20000 
-1.01010 0.91864 1.20000 
-0.94016 0.89630 1.20000 
-0.92929 0.89285 1.20000 
-0.84848 0.86368 1.20000 
-0.76768 0.82914 1.20000 
-0.73896 0.81481 1.20000 
-0.68687 0.78837 1.20000 
-0.60606 0.73761 1.20000 
-0.60035 0.73333 1.20000 
-0.52525 0.67271 1.20000 
-0.50517 0.65185 1.20000 
-0.44444 0.57940 1.20000 
-0.43875 0.57037 1.20000 
-0.39336 0.48889 1.20000 
-0.36364 0.42563 1.20000 
-0.35782 0.40741 1.20000 
-0.32932 0.32593 1.20000 
-0.29590 0.24444 1.20000 
-0.28283 0.22713 1.20000 
-0.25691 0.16296 1.20000 
-0.20202 0.10466 1.20000 
-0.19279 0.08148 1.20000 
-0.12121 0.04318 1.20000 
-0.04040 0.01712 1.20000 
0.04040 0.01712 1.20000 
0.12121 0.04318 1.20000 
0.19279 0.08148 1.20000 
0.20202 0.10466 1.20000 
0.25691 0.16296 1.20000 
0.28283 0.22713 1.20000 
0.29590 0.24444 1.20000 
0.32932 0.32593 1.20000 
0.35782 0.40741 1.20000 
0.36364 0.42563 1.20000 
0.39336 0.48889 1.20000 
0.43875 0.57037 1.20000 
